name,link,address,google_url,phone
Studio Estético Letícia Neufeld,https://www.instagram.com/studioesteticoleneufeld?igsh=MXB3Mnl5Zzg5bWxzYQ==,"R. 506 - Bela Vista, Aceguá - RS, 96445-000, Brasil",https://www.google.com/maps/place/Studio+Est%C3%A9tico+Let%C3%ADcia+Neufeld/data=!4m7!3m6!1s0x9508b3563a358495:0x43a25f9dade81e62!8m2!3d-31.8679891!4d-54.1635379!16s%2Fg%2F11y2l9xfjf!19sChIJlYQ1OlazCJURYh7orZ1fokM?authuser=0&hl=pt-PT&rclk=1,+55 53 99953-6217
Julia Monteiro Makeup,https://business.google.com/create?fp=1284329346535178600&hl=pt-PT&authuser=0&gmbsrc=pt-pt-pt-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&ppsrc=GMBMI&utm_campaign=pt-pt-pt-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&utm_source=gmb_mrc81&utm_medium=et&getstarted&lis=0,"R. Quinhentos - Centro, Aceguá - RS, 96445-000, Brasil",https://www.google.com/maps/place/Julia+Monteiro+Makeup/data=!4m7!3m6!1s0x9508b3f897850f63:0x11d2dabc6ad6c168!8m2!3d-31.8713001!4d-54.1592805!16s%2Fg%2F11h_zbdcs5!19sChIJYw-Fl_izCJURaMHWarza0hE?authuser=0&hl=pt-PT&rclk=1,+55 53 99710-8945
Stúdio Flavia Maciel - Pilates e Fisioterapia,http://instagram.com/studioflaviamaciel,"R. 510, n 11 - sala B - Centro, Aceguá - RS, 96445-000, Brasil",https://www.google.com/maps/place/St%C3%BAdio+Flavia+Maciel+-+Pilates+e+Fisioterapia/data=!4m7!3m6!1s0x9508b31a7e648e25:0xb43999a8324a02bf!8m2!3d-31.8705181!4d-54.1614451!16s%2Fg%2F11mv4tgpty!19sChIJJY5kfhqzCJURvwJKMqiZObQ?authuser=0&hl=pt-PT&rclk=1,+55 53 99942-3955
.,,,https://www.google.com/maps/place/data=!4m7!3m6!1s0xa82f065650a3ffaf:0xb1265de2840290c2!8m2!3d-31.8676214!4d-54.1702159!16s%2Fg%2F11swzk09_h!19sChIJr_-jUFYGL6gRwpAChOJdJrE?authuser=0&hl=pt-PT&rclk=1,
Urban Clinic Ermesinde Estética Avançada,,"R. José Joaquim Ribeiro Teles 424 Lj H, 4445-485 Ermesinde",https://www.google.com/maps/place/Urban+Clinic+Ermesinde+Est%C3%A9tica+Avan%C3%A7ada/data=!4m7!3m6!1s0xd246167fd7f1a71:0x34424e5b7d6cb82b!8m2!3d41.2135726!4d-8.5497822!16s%2Fg%2F11c74c95n5!19sChIJcRp__WdhJA0RK7hsfVtOQjQ?authuser=0&hl=pt-PT&rclk=1,916 422 288
Essencial Ser - Estética de Resultados,,"Tv. Barrosa 16 1º andar, sala 3, 4400-042 Vila Nova de Gaia",https://www.google.com/maps/place/Essencial+Ser+-+Est%C3%A9tica+de+Resultados/data=!4m7!3m6!1s0xd2464d695d74bed:0x302c89ec5e7a315f!8m2!3d41.1250734!4d-8.6120781!16s%2Fg%2F1tdqjrvl!19sChIJ7UvXldZkJA0RXzF6XuyJLDA?authuser=0&hl=pt-PT&rclk=1,934 773 513
Orquídea Clinic - Centro de Estética Avançada e Laser Díodo,,"R. Corvo 580, 4410-439 Arcozelo",https://www.google.com/maps/place/Orqu%C3%ADdea+Clinic+-+Centro+de+Est%C3%A9tica+Avan%C3%A7ada+e+Laser+D%C3%ADodo/data=!4m7!3m6!1s0xd247b4cc10a84c1:0xfe81654612e49bd2!8m2!3d41.0491802!4d-8.6280709!16s%2Fg%2F11gr45_fyy!19sChIJwYQKwUx7JA0R0pvkEkZlgf4?authuser=0&hl=pt-PT&rclk=1,918 206 400
Esteticista Flavia Alonso,http://instagram.com/esteticistaflaviaalonso,"Av. da República 2491 Sala 31, 4430-208 Vila Nova de Gaia",https://www.google.com/maps/place/Esteticista+Flavia+Alonso/data=!4m7!3m6!1s0xd246fc7bb2886af:0xa9e7c4af4ce86458!8m2!3d41.1163841!4d-8.6061087!16s%2Fg%2F11h1qmtg2v!19sChIJr4You8dvJA0RWGToTK_E56k?authuser=0&hl=pt-PT&rclk=1,913 412 550
Clínica Endul: Medicina Estética Sem Cirurgia,http://clinicaendul.pt/,"R. Dr. Joaquim Pires de Lima 223, 4200-350 Porto",https://www.google.com/maps/place/Cl%C3%ADnica+Endul:+Medicina+Est%C3%A9tica+Sem+Cirurgia/data=!4m7!3m6!1s0xd246f7c932dd2dd:0xdeb2fe8e750c7aba!8m2!3d41.1679968!4d-8.5968554!16s%2Fg%2F1tdw9bk1!19sChIJ3dItk3xvJA0RunoMdY7-st4?authuser=0&hl=pt-PT&rclk=1,919 548 975
IL Clínica de Estética e Tratamentos Terapêuticos | SHIATSU no Porto,https://wa.me/351935265605,"R. Guilhermina Suggia 196, 4200-052 Porto",https://www.google.com/maps/place/IL+Cl%C3%ADnica+de+Est%C3%A9tica+e+Tratamentos+Terap%C3%AAuticos+%7C+SHIATSU+no+Porto/data=!4m7!3m6!1s0xd2465aa88821a57:0xbca34c436db67b89!8m2!3d41.1636641!4d-8.5960144!16s%2Fg%2F11l6l68_lr!19sChIJVxqCiKplJA0RiXu2bUNMo7w?authuser=0&hl=pt-PT&rclk=1,935 265 605
